"행정구역","2014년_거주자_총인구수","2014년_거주자_연령구간인구수","2014년_거주자_0~4세","2014년_거주자_5~9세","2014년_거주자_10~14세","2014년_거주자_15~19세","2014년_거주자_20~24세","2014년_거주자_25~29세","2014년_거주자_30~34세","2014년_거주자_35~39세","2014년_거주자_40~44세","2014년_거주자_45~49세","2014년_거주자_50~54세","2014년_거주자_55~59세","2014년_거주자_60~64세","2014년_거주자_65~69세","2014년_거주자_70~74세","2014년_거주자_75~79세","2014년_거주자_80~84세","2014년_거주자_85~89세","2014년_거주자_90~94세","2014년_거주자_95~99세","2014년_거주자_100세 이상"
"광주광역시 광산구 (2920000000)","395,701","395,701","24,655","26,930","29,996","32,720","27,277","20,740","31,743","36,979","41,652","35,340","27,389","19,125","11,572","9,710","8,078","5,967","3,522","1,611","570","101","24"
"광주광역시 광산구 송정1동(2920051500)","11,662","11,662","534","653","750","954","775","598","871","956","1,171","980","858","696","533","465","380","252","149","70","15","2","0"
"광주광역시 광산구 송정2동(2920052500)","6,381","6,381","179","183","251","433","427","386","403","380","497","517","544","504","443","449","345","240","127","50","18","5","0"
"광주광역시 광산구 도산동(2920054000)","14,446","14,446","867","841","1,030","1,042","925","748","1,243","1,302","1,468","1,175","1,004","767","544","503","428","297","163","64","27","8","0"
"광주광역시 광산구 신흥동(2920055000)","4,846","4,846","244","211","243","300","317","277","406","358","408","372","391","366","239","265","197","122","75","39","12","4","0"
"광주광역시 광산구 어룡동(2920056500)","26,428","26,428","1,815","1,558","1,707","1,849","1,648","1,484","2,585","2,521","2,558","2,086","1,869","1,601","928","781","599","427","247","128","33","2","2"
"광주광역시 광산구 우산동(2920058000)","23,454","23,454","1,041","954","1,193","1,782","1,885","1,574","1,703","1,616","1,903","2,197","2,150","1,711","983","822","730","594","363","176","64","8","5"
"광주광역시 광산구 월곡1동(2920060000)","13,926","13,926","558","628","866","1,248","1,306","956","963","916","1,246","1,430","1,271","1,000","509","348","252","223","119","65","17","3","2"
"광주광역시 광산구 월곡2동(2920061000)","19,805","19,805","954","1,152","1,491","1,678","1,586","1,181","1,442","1,651","2,108","1,954","1,574","1,129","642","466","340","229","133","65","25","4","1"
"광주광역시 광산구 비아동(2920062000)","7,173","7,173","442","435","510","496","401","345","606","697","764","677","543","379","236","194","185","128","95","30","8","2","0"
"광주광역시 광산구 첨단1동(2920062400)","24,084","24,084","816","1,282","2,048","2,849","2,576","1,344","978","1,429","2,223","2,837","2,415","1,348","572","407","377","296","177","77","29","1","3"
"광주광역시 광산구 첨단2동(2920062600)","42,296","42,296","2,198","2,692","3,636","4,293","3,611","2,349","2,831","3,616","4,863","4,422","3,209","1,649","806","665","567","436","289","109","42","11","2"
"광주광역시 광산구 신가동(2920063000)","24,836","24,836","1,542","1,825","2,115","2,197","1,653","1,090","1,979","2,384","2,912","2,254","1,501","1,051","761","588","453","291","154","62","19","5","0"
"광주광역시 광산구 운남동(2920063500)","32,585","32,585","2,111","2,068","2,572","2,991","2,471","1,680","2,693","2,937","3,471","3,301","2,369","1,341","719","624","514","386","205","94","33","3","2"
"광주광역시 광산구 수완동(2920063700)","77,232","77,232","6,952","7,595","6,849","5,861","3,861","3,356","7,460","9,461","9,276","6,054","3,714","2,408","1,427","1,117","811","506","302","156","59","7","0"
"광주광역시 광산구 하남동(2920064000)","19,295","19,295","1,930","1,847","1,315","1,129","1,016","926","2,042","2,487","1,922","1,215","1,105","903","486","338","265","178","107","61","18","3","2"
"광주광역시 광산구 임곡동(2920065000)","2,296","2,296","33","33","63","134","110","90","99","84","106","133","210","225","178","191","204","190","124","58","24","6","1"
"광주광역시 광산구 동곡동(2920066000)","2,099","2,099","28","34","52","96","110","107","109","85","97","135","200","211","164","194","186","143","95","39","10","3","1"
"광주광역시 광산구 평동(2920067000)","3,816","3,816","52","72","72","136","209","200","218","194","231","260","314","369","344","336","324","245","138","79","22","1","0"
"광주광역시 광산구 삼도동(2920068000)","2,568","2,568","41","52","60","123","116","103","108","95","141","176","221","217","221","198","213","248","147","60","25","2","1"
"광주광역시 광산구 본량동(2920069000)","2,261","2,261","21","44","48","63","70","89","85","111","136","116","178","160","162","198","255","266","150","57","32","18","2"
"광주광역시 광산구 신창동(2920070000)","34,212","34,212","2,297","2,771","3,125","3,066","2,204","1,857","2,919","3,699","4,151","3,049","1,749","1,090","675","561","453","270","163","72","38","3","0"
