"행정구역","2015년_거주자_총인구수","2015년_거주자_연령구간인구수","2015년_거주자_0~4세","2015년_거주자_5~9세","2015년_거주자_10~14세","2015년_거주자_15~19세","2015년_거주자_20~24세","2015년_거주자_25~29세","2015년_거주자_30~34세","2015년_거주자_35~39세","2015년_거주자_40~44세","2015년_거주자_45~49세","2015년_거주자_50~54세","2015년_거주자_55~59세","2015년_거주자_60~64세","2015년_거주자_65~69세","2015년_거주자_70~74세","2015년_거주자_75~79세","2015년_거주자_80~84세","2015년_거주자_85~89세","2015년_거주자_90~94세","2015년_거주자_95~99세","2015년_거주자_100세 이상","2016년_거주자_총인구수","2016년_거주자_연령구간인구수","2016년_거주자_0~4세","2016년_거주자_5~9세","2016년_거주자_10~14세","2016년_거주자_15~19세","2016년_거주자_20~24세","2016년_거주자_25~29세","2016년_거주자_30~34세","2016년_거주자_35~39세","2016년_거주자_40~44세","2016년_거주자_45~49세","2016년_거주자_50~54세","2016년_거주자_55~59세","2016년_거주자_60~64세","2016년_거주자_65~69세","2016년_거주자_70~74세","2016년_거주자_75~79세","2016년_거주자_80~84세","2016년_거주자_85~89세","2016년_거주자_90~94세","2016년_거주자_95~99세","2016년_거주자_100세 이상"
"광주광역시 광산구 (2920000000)","399,105","399,105","23,533","27,151","27,745","33,314","28,898","20,951","29,609","36,885","40,863","36,963","28,378","21,327","12,722","10,213","8,160","6,075","3,780","1,767","622","125","24","401,362","401,362","22,557","27,039","26,474","32,682","30,057","21,903","27,606","36,508","39,616","38,592","29,589","23,202","13,771","10,386","8,121","6,544","4,024","1,867","658","142","24"
"광주광역시 광산구 송정1동(2920051500)","11,487","11,487","513","623","701","950","818","557","700","930","1,131","1,021","841","759","549","491","400","269","147","70","13","4","0","11,271","11,271","465","561","660","904","891","567","640","863","1,038","1,041","871","747","587","490","400","280","164","76","23","3","0"
"광주광역시 광산구 송정2동(2920052500)","6,221","6,221","182","181","220","392","438","355","391","367","470","517","496","500","445","460","358","244","123","52","22","7","1","6,178","6,178","169","174","188","359","473","383","380","389","433","501","512","514","429","430","367","258","126","63","22","6","2"
"광주광역시 광산구 도산동(2920054000)","14,436","14,436","782","850","906","1,081","996","776","1,108","1,286","1,406","1,227","1,050","817","581","525","439","307","182","80","28","9","0","14,655","14,655","731","822","887","1,094","1,079","875","1,005","1,251","1,397","1,302","1,082","878","623","532","437","348","191","86","26","9","0"
"광주광역시 광산구 신흥동(2920055000)","4,848","4,848","239","212","201","307","333","303","377","382","380","380","370","367","272","263","203","117","82","43","10","6","1","5,041","5,041","228","211","218","283","371","292","383","407","363","410","404","399","296","273","219","135","87","44","11","6","1"
"광주광역시 광산구 어룡동(2920056500)","28,998","28,998","2,000","1,767","1,719","1,989","1,842","1,610","2,783","2,839","2,771","2,291","2,043","1,803","1,129","822","651","451","286","142","52","7","1","30,537","30,537","2,241","1,918","1,675","2,003","1,933","1,707","2,756","3,145","2,842","2,541","2,017","1,963","1,238","857","677","495","311","148","59","9","2"
"광주광역시 광산구 우산동(2920058000)","24,835","24,835","1,194","1,031","1,123","1,782","2,037","1,610","1,820","1,809","1,940","2,301","2,261","1,914","1,162","884","741","580","368","188","76","10","4","23,710","23,710","1,103","1,004","992","1,599","1,897","1,519","1,650","1,760","1,797","2,192","2,155","1,966","1,220","880","702","609","389","192","72","8","4"
"광주광역시 광산구 월곡1동(2920060000)","13,710","13,710","551","609","798","1,170","1,279","978","913","933","1,166","1,304","1,281","1,097","555","402","253","206","134","65","12","3","1","13,282","13,282","504","559","735","1,095","1,234","921","839","914","1,043","1,267","1,275","1,153","617","419","254","217","153","63","17","3","0"
"광주광역시 광산구 월곡2동(2920061000)","19,276","19,276","875","1,087","1,303","1,633","1,600","1,150","1,310","1,552","1,938","1,955","1,581","1,288","682","494","330","247","151","73","21","5","1","18,823","18,823","811","1,042","1,206","1,534","1,608","1,122","1,164","1,431","1,822","1,972","1,604","1,360","743","504","365","259","160","82","26","5","3"
"광주광역시 광산구 비아동(2920062000)","7,038","7,038","421","396","433","484","444","348","541","638","697","696","586","408","260","214","178","144","107","32","10","1","0","6,914","6,914","387","373","404","478","450","332","486","589","667","698","611","458","286","212","160","158","114","33","17","1","0"
