"행정구역","2023년_거주자_총인구수","2023년_거주자_연령구간인구수","2023년_거주자_0~4세","2023년_거주자_5~9세","2023년_거주자_10~14세","2023년_거주자_15~19세","2023년_거주자_20~24세","2023년_거주자_25~29세","2023년_거주자_30~34세","2023년_거주자_35~39세","2023년_거주자_40~44세","2023년_거주자_45~49세","2023년_거주자_50~54세","2023년_거주자_55~59세","2023년_거주자_60~64세","2023년_거주자_65~69세","2023년_거주자_70~74세","2023년_거주자_75~79세","2023년_거주자_80~84세","2023년_거주자_85~89세","2023년_거주자_90~94세","2023년_거주자_95~99세","2023년_거주자_100세 이상","2024년_거주자_총인구수","2024년_거주자_연령구간인구수","2024년_거주자_0~4세","2024년_거주자_5~9세","2024년_거주자_10~14세","2024년_거주자_15~19세","2024년_거주자_20~24세","2024년_거주자_25~29세","2024년_거주자_30~34세","2024년_거주자_35~39세","2024년_거주자_40~44세","2024년_거주자_45~49세","2024년_거주자_50~54세","2024년_거주자_55~59세","2024년_거주자_60~64세","2024년_거주자_65~69세","2024년_거주자_70~74세","2024년_거주자_75~79세","2024년_거주자_80~84세","2024년_거주자_85~89세","2024년_거주자_90~94세","2024년_거주자_95~99세","2024년_거주자_100세 이상","2025년_거주자_총인구수","2025년_거주자_연령구간인구수","2025년_거주자_0~4세","2025년_거주자_5~9세","2025년_거주자_10~14세","2025년_거주자_15~19세","2025년_거주자_20~24세","2025년_거주자_25~29세","2025년_거주자_30~34세","2025년_거주자_35~39세","2025년_거주자_40~44세","2025년_거주자_45~49세","2025년_거주자_50~54세","2025년_거주자_55~59세","2025년_거주자_60~64세","2025년_거주자_65~69세","2025년_거주자_70~74세","2025년_거주자_75~79세","2025년_거주자_80~84세","2025년_거주자_85~89세","2025년_거주자_90~94세","2025년_거주자_95~99세","2025년_거주자_100세 이상"
"광주광역시 광산구 (2920000000)","395,840","395,840","12,105","19,490","24,451","24,980","27,171","27,860","25,326","24,324","35,123","35,743","38,728","31,537","24,724","15,966","10,146","7,828","5,908","3,146","1,043","204","37","390,602","390,602","11,035","17,774","23,633","24,533","25,501","27,543","25,894","22,987","32,321","34,917","38,887","32,815","25,452","17,690","10,571","8,358","5,955","3,249","1,202","254","31","386,670","386,670","10,629","15,942","22,602","24,657","23,306","27,031","26,978","22,497","29,865","34,661","37,878","33,983","25,973","19,447","11,499","8,725","5,965","3,418","1,277","303","34"
"광주광역시 광산구 송정1동(2920051500)","10,312","10,312","173","325","445","527","756","786","564","475","722","850","1,005","882","797","653","507","400","266","129","33","17","0","10,014","10,014","164","284","418","495","699","756","548","442","645","775","1,000","890","812","685","495","427","281","141","40","17","0","9,729","9,729","143","236","385","486","608","759","542","386","578","760","978","916","787","697","528","424","302","153","47","14","0"
"광주광역시 광산구 송정2동(2920052500)","6,188","6,188","189","121","129","172","353","536","485","368","393","348","508","519","472","451","387","338","251","126","39","2","1","6,002","6,002","167","116","121","170","297","529","481","365","351","345","489","516","463","418","387","366","236","136","42","6","1","5,807","5,807","140","111","121","172","247","458","491","341","317","344","470","484","478","422","390","389","239","144","38","11","0"
"광주광역시 광산구 도산동(2920054000)","14,484","14,484","477","639","670","723","949","999","961","893","1,188","1,137","1,373","1,176","998","755","556","469","321","156","34","9","1","14,236","14,236","441","596","667","695","866","947","939","852","1,096","1,107","1,389","1,251","992","801","555","500","315","174","44","9","0","13,919","13,919","387","513","645","685","801","900","933","774","1,001","1,127","1,315","1,276","1,026","832","594","521","351","173","52","11","2"
"광주광역시 광산구 신흥동(2920055000)","4,265","4,265","86","137","166","196","230","290","240","200","302","318","353","379","376","312","237","204","134","77","20","4","4","4,128","4,128","77","131","157","179","212","278","216","206","244","298","363","362","372","322","226","229","148","71","28","6","3","3,947","3,947","70","116","156","177","175","256","205","191","211","276","332","366","348","321","262","223","155","73","30","3","1"
"광주광역시 광산구 어룡동(2920056500)","33,235","33,235","1,333","2,045","2,097","1,816","1,861","1,910","2,244","2,529","3,438","2,891","2,911","2,299","2,057","1,470","895","637","467","217","100","13","5","33,434","33,434","1,231","1,907","2,056","1,838","1,799","1,907","2,315","2,375","3,289","2,993","2,927","2,467","2,149","1,656","968","717","481","235","99","21","4","36,398","36,398","1,532","1,886","2,088","1,918","1,778","2,297","3,179","2,744","3,383","3,190","3,024","2,641","2,220","1,797","1,116","727","481","265","100","25","7"
"광주광역시 광산구 우산동(2920058000)","29,083","29,083","1,224","1,122","1,043","1,022","1,564","2,130","2,509","2,209","2,272","1,977","2,546","2,570","2,404","1,678","993","732","592","348","116","28","4","28,311","28,311","1,118","1,022","1,012","997","1,354","2,018","2,472","2,131","2,140","1,918","2,425","2,585","2,359","1,852","1,055","751","579","345","139","33","6","27,758","27,758","1,094","936","1,014","997","1,154","1,894","2,439","2,042","2,010","1,904","2,292","2,599","2,303","2,013","1,180","799","558","339","152","36","3"
"광주광역시 광산구 월곡1동(2920060000)","9,882","9,882","209","302","417","493","658","811","674","466","607","676","932","1,068","972","642","389","228","169","115","40","13","1","9,518","9,518","182","279","419","429","591","714","686","437","565","583","894","1,047","946","728","397","277","176","111","46","10","1","9,100","9,100","158","246","393","382","502","670","625","431","504","565","825","952","949","805","443","299","178","114","48","10","1"
"광주광역시 광산구 월곡2동(2920061000)","14,695","14,695","350","469","738","927","1,055","1,001","863","768","1,010","1,281","1,541","1,427","1,228","785","477","359","260","118","33","3","2","14,426","14,426","316","424","693","890","963","968","860","700","929","1,205","1,568","1,461","1,247","868","509","382","268","134","34","6","1","13,920","13,920","287","367","613","865","881","895","867","675","836","1,100","1,446","1,480","1,246","966","540","401","259","148","39","9","0"
"광주광역시 광산구 비아동(2920062000)","7,415","7,415","194","365","398","412","420","427","327","411","607","700","808","722","579","340","219","199","158","86","39","4","0","7,163","7,163","160","328","385","369","376","413","328","347","564","666","777","728","608","382","233","214","138","96","44","7","0","7,087","7,087","138","285","372","376","345","407","342","335","497","673","741","761","636","428","251","222","136","90","39","13","0"
"광주광역시 광산구 첨단1동(2920062400)","27,407","27,407","849","970","1,365","1,711","2,086","2,444","2,256","1,586","1,862","2,073","2,790","2,783","2,112","1,064","532","371","310","176","52","13","2","27,793","27,793","838","1,014","1,373","1,689","1,910","2,461","2,399","1,676","1,806","2,068","2,770","2,761","2,249","1,252","565","386","306","188","64","16","2","27,268","27,268","779","936","1,317","1,650","1,704","2,298","2,357","1,650","1,738","1,989","2,618","2,789","2,336","1,482","621","413","301","188","74","24","4"
"광주광역시 광산구 첨단2동(2920062600)","41,955","41,955","1,140","1,817","2,336","2,651","3,451","3,964","3,283","2,496","3,354","3,625","4,439","3,682","2,480","1,259","699","521","433","227","83","14","1","41,148","41,148","1,044","1,610","2,225","2,455","3,321","3,904","3,358","2,459","3,000","3,492","4,295","3,787","2,686","1,412","776","548","432","245","80","19","0","40,420","40,420","1,028","1,419","2,117","2,427","2,895","3,745","3,504","2,478","2,791","3,406","4,001","3,934","2,798","1,667","810","609","408","259","99","24","1"
"광주광역시 광산구 신가동(2920063000)","19,128","19,128","639","1,212","1,390","1,428","1,481","1,141","993","1,184","1,869","1,900","2,110","1,425","892","543","345","279","196","77","20","4","0","18,743","18,743","535","1,118","1,309","1,390","1,410","1,151","998","1,066","1,701","1,810","2,162","1,537","964","590","367","315","198","94","23","5","0","18,409","18,409","496","969","1,252","1,396","1,300","1,139","1,026","1,023","1,532","1,782","2,104","1,683","1,005","652","389","333","194","101","28","5","0"
"광주광역시 광산구 운남동(2920063500)","29,428","29,428","785","1,339","1,715","1,775","2,065","2,096","1,754","1,670","2,495","2,653","3,041","2,717","1,953","1,155","728","650","497","242","83","12","3","28,750","28,750","683","1,159","1,629","1,720","1,904","2,045","1,876","1,524","2,263","2,559","2,976","2,785","2,003","1,326","745","683","522","223","106","17","2","28,107","28,107","634","985","1,537","1,690","1,673","2,005","1,905","1,435","2,021","2,501","2,856","2,834","2,112","1,458","832","671","558","262","120","17","1"
"광주광역시 광산구 수완동(2920063700)","75,069","75,069","2,200","5,099","7,125","6,497","5,377","4,282","3,605","4,432","8,218","8,630","7,511","4,553","2,974","1,812","1,176","793","475","219","70","19","2","73,882","73,882","1,963","4,531","6,899","6,592","5,165","4,374","3,648","4,018","7,408","8,449","7,790","5,028","3,066","2,028","1,231","855","518","213","85","18","3","72,807","72,807","1,819","4,003","6,460","6,838","4,940","4,378","3,733","3,805","6,659","8,376","7,893","5,346","3,168","2,296","1,301","917","533","233","88","16","5"
