"행정구역","2014년_거주자_총인구수","2014년_거주자_연령구간인구수","2014년_거주자_0~4세","2014년_거주자_5~9세","2014년_거주자_10~14세","2014년_거주자_15~19세","2014년_거주자_20~24세","2014년_거주자_25~29세","2014년_거주자_30~34세","2014년_거주자_35~39세","2014년_거주자_40~44세","2014년_거주자_45~49세","2014년_거주자_50~54세","2014년_거주자_55~59세","2014년_거주자_60~64세","2014년_거주자_65~69세","2014년_거주자_70~74세","2014년_거주자_75~79세","2014년_거주자_80~84세","2014년_거주자_85~89세","2014년_거주자_90~94세","2014년_거주자_95~99세","2014년_거주자_100세 이상"
"광주광역시 남구 (2915500000)","218,326","218,326","8,927","9,652","12,392","17,091","16,360","12,693","15,603","15,314","17,707","17,407","17,782","16,379","11,730","10,194","8,075","5,610","3,198","1,530","542","114","26"
"광주광역시 남구 양림동(2915551000)","8,768","8,768","441","416","446","524","600","433","617","693","686","602","642","656","519","497","398","290","196","76","30","4","2"
"광주광역시 남구 방림1동(2915552000)","8,285","8,285","439","392","398","541","547","482","657","749","640","580","623","632","444","421","345","219","104","51","16","5","0"
"광주광역시 남구 방림2동(2915553000)","10,889","10,889","377","348","501","792","828","669","801","709","800","763","896","848","717","664","509","321","216","94","31","4","1"
"광주광역시 남구 봉선1동(2915553700)","17,288","17,288","687","730","940","1,385","1,353","1,077","1,312","1,189","1,451","1,450","1,416","1,311","792","674","614","439","274","132","46","13","3"
"광주광역시 남구 봉선2동(2915553800)","29,083","29,083","1,071","1,852","2,549","3,025","2,287","1,381","1,472","1,803","2,837","2,710","2,379","1,964","1,129","842","667","547","331","154","69","10","4"
"광주광역시 남구 사직동(2915554500)","5,359","5,359","121","123","118","242","323","357","420","318","429","400","420","485","387","394","381","247","120","58","13","3","0"
"광주광역시 남구 월산동(2915560500)","10,144","10,144","268","236","320","551","665","582","729","649","677","780","835","888","723","765","655","442","238","101","33","6","1"
"광주광역시 남구 월산4동(2915563000)","10,548","10,548","294","327","412","691","812","734","826","667","781","863","942","902","707","605","491","273","130","64","24","3","0"
"광주광역시 남구 월산5동(2915564000)","7,870","7,870","236","222","265","504","598","577","627","513","540","589","777","703","538","467","331","206","98","53","21","3","2"
"광주광역시 남구 백운1동(2915567000)","14,141","14,141","874","609","617","919","1,024","854","1,294","1,155","1,007","966","1,089","1,100","797","652","500","338","196","105","38","6","1"
"광주광역시 남구 백운2동(2915568000)","5,269","5,269","146","123","186","313","380","394","422","334","375","356","428","479","377","333","286","194","85","42","12","3","1"
"광주광역시 남구 주월1동(2915569000)","21,270","21,270","891","863","1,180","1,808","1,742","1,348","1,648","1,517","1,708","1,725","1,848","1,601","1,099","892","618","401","213","121","36","11","0"
"광주광역시 남구 주월2동(2915570000)","10,084","10,084","346","344","496","719","774","636","761","695","726","856","892","866","635","516","395","229","123","49","21","5","0"
"광주광역시 남구 효덕동(2915571000)","47,191","47,191","2,182","2,657","3,522","4,334","3,670","2,546","3,173","3,591","4,204","3,922","3,539","2,926","2,093","1,757","1,228","926","541","261","89","22","8"
"광주광역시 남구 송암동(2915572000)","6,093","6,093","345","230","272","454","413","369","512","405","435","462","558","473","336","271","225","153","95","59","19","7","0"
"광주광역시 남구 대촌동(2915573000)","6,044","6,044","209","180","170","289","344","254","332","327","411","383","498","545","437","444","432","385","238","110","44","9","3"
