"행정구역","2015년_거주자_총인구수","2015년_거주자_연령구간인구수","2015년_거주자_0~4세","2015년_거주자_5~9세","2015년_거주자_10~14세","2015년_거주자_15~19세","2015년_거주자_20~24세","2015년_거주자_25~29세","2015년_거주자_30~34세","2015년_거주자_35~39세","2015년_거주자_40~44세","2015년_거주자_45~49세","2015년_거주자_50~54세","2015년_거주자_55~59세","2015년_거주자_60~64세","2015년_거주자_65~69세","2015년_거주자_70~74세","2015년_거주자_75~79세","2015년_거주자_80~84세","2015년_거주자_85~89세","2015년_거주자_90~94세","2015년_거주자_95~99세","2015년_거주자_100세 이상","2016년_거주자_총인구수","2016년_거주자_연령구간인구수","2016년_거주자_0~4세","2016년_거주자_5~9세","2016년_거주자_10~14세","2016년_거주자_15~19세","2016년_거주자_20~24세","2016년_거주자_25~29세","2016년_거주자_30~34세","2016년_거주자_35~39세","2016년_거주자_40~44세","2016년_거주자_45~49세","2016년_거주자_50~54세","2016년_거주자_55~59세","2016년_거주자_60~64세","2016년_거주자_65~69세","2016년_거주자_70~74세","2016년_거주자_75~79세","2016년_거주자_80~84세","2016년_거주자_85~89세","2016년_거주자_90~94세","2016년_거주자_95~99세","2016년_거주자_100세 이상"
"광주광역시 남구 (2915500000)","219,799","219,799","8,984","10,268","11,540","16,598","16,739","12,264","14,881","15,771","17,410","17,750","17,216","17,093","12,684","10,699","8,192","5,845","3,465","1,705","549","124","22","218,202","218,202","8,601","10,402","10,982","15,643","16,468","12,409","13,502","15,937","16,848","17,991","16,665","17,618","13,300","10,848","8,309","6,376","3,759","1,804","576","140","24"
"광주광역시 남구 양림동(2915551000)","8,575","8,575","403","443","425","521","566","445","522","655","688","643","599","640","519","499","400","284","196","94","26","5","2","8,320","8,320","336","431","414","497","526","454","427","632","639","663","594","630","507","533","392","297","228","92","20","5","3"
"광주광역시 남구 방림1동(2915552000)","8,013","8,013","364","409","351","538","563","457","581","671","622","585","566","637","476","435","330","230","121","55","16","6","0","7,861","7,861","328","431","348","488","536","449","538","661","613","574","551","607","496","435","349","246","126","62","18","5","0"
"광주광역시 남구 방림2동(2915553000)","10,725","10,725","383","331","446","763","832","627","758","705","744","791","849","870","704","687","523","348","216","113","25","9","1","10,449","10,449","375","290","410","705","793","641","660","693","703","794","802","897","709","687","536","389","216","107","33","8","1"
"광주광역시 남구 봉선1동(2915553700)","17,048","17,048","628","744","850","1,303","1,360","1,013","1,228","1,176","1,390","1,452","1,390","1,310","907","721","612","458","292","156","46","11","1","16,568","16,568","595","720","795","1,180","1,329","1,005","1,109","1,135","1,299","1,380","1,307","1,374","971","740","585","503","316","157","56","10","2"
"광주광역시 남구 봉선2동(2915553800)","29,593","29,593","1,133","1,983","2,450","3,016","2,311","1,355","1,461","1,904","2,798","2,822","2,293","2,023","1,301","901","681","555","352","172","68","9","5","29,457","29,457","1,064","2,011","2,391","2,936","2,298","1,362","1,303","1,877","2,724","2,922","2,305","2,072","1,393","887","703","573","370","193","59","10","4"
"광주광역시 남구 사직동(2915554500)","5,251","5,251","97","144","115","226","370","331","380","317","362","390","430","464","399","398","371","254","125","58","15","4","1","5,099","5,099","98","137","111","183","338","342","311","317","351","376","414","461","394","398","353","293","145","53","20","3","1"
"광주광역시 남구 월산동(2915560500)","9,811","9,811","250","235","268","502","654","541","646","629","659","743","766","912","720","775","652","448","255","118","31","6","1","9,705","9,705","245","235","244","462","648","544","587","650","653","712","743","932","702","769","650","493","260","138","29","9","0"
"광주광역시 남구 월산4동(2915563000)","10,278","10,278","269","330","353","623","830","680","744","662","750","834","889","909","759","630","476","298","158","60","21","3","0","9,871","9,871","245","312","326","564","739","667","691","624","691","785","838","935","756","602","493","333","174","71","20","5","0"
"광주광역시 남구 월산5동(2915564000)","7,677","7,677","216","204","255","439","616","504","594","503","493","595","712","734","578","475","349","214","123","54","14","4","1","7,345","7,345","172","193","208","385","602","489","527","506","473","551","628","739","604","463","357","230","140","55","18","3","2"
