"행정구역","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~4세","2020년_거주자_5~9세","2020년_거주자_10~14세","2020년_거주자_15~19세","2020년_거주자_20~24세","2020년_거주자_25~29세","2020년_거주자_30~34세","2020년_거주자_35~39세","2020년_거주자_40~44세","2020년_거주자_45~49세","2020년_거주자_50~54세","2020년_거주자_55~59세","2020년_거주자_60~64세","2020년_거주자_65~69세","2020년_거주자_70~74세","2020년_거주자_75~79세","2020년_거주자_80~84세","2020년_거주자_85~89세","2020년_거주자_90~94세","2020년_거주자_95~99세","2020년_거주자_100세 이상","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~4세","2021년_거주자_5~9세","2021년_거주자_10~14세","2021년_거주자_15~19세","2021년_거주자_20~24세","2021년_거주자_25~29세","2021년_거주자_30~34세","2021년_거주자_35~39세","2021년_거주자_40~44세","2021년_거주자_45~49세","2021년_거주자_50~54세","2021년_거주자_55~59세","2021년_거주자_60~64세","2021년_거주자_65~69세","2021년_거주자_70~74세","2021년_거주자_75~79세","2021년_거주자_80~84세","2021년_거주자_85~89세","2021년_거주자_90~94세","2021년_거주자_95~99세","2021년_거주자_100세 이상","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~4세","2022년_거주자_5~9세","2022년_거주자_10~14세","2022년_거주자_15~19세","2022년_거주자_20~24세","2022년_거주자_25~29세","2022년_거주자_30~34세","2022년_거주자_35~39세","2022년_거주자_40~44세","2022년_거주자_45~49세","2022년_거주자_50~54세","2022년_거주자_55~59세","2022년_거주자_60~64세","2022년_거주자_65~69세","2022년_거주자_70~74세","2022년_거주자_75~79세","2022년_거주자_80~84세","2022년_거주자_85~89세","2022년_거주자_90~94세","2022년_거주자_95~99세","2022년_거주자_100세 이상"
"광주광역시 남구 (2915500000)","213,140","213,140","6,588","10,693","11,218","11,547","14,421","13,485","10,669","14,685","16,356","17,420","16,776","15,876","16,079","11,741","9,926","7,369","4,793","2,398","894","184","22","214,887","214,887","6,353","10,707","11,539","11,193","13,914","13,560","11,242","13,893","16,933","17,181","17,371","15,426","16,565","12,444","10,104","7,452","5,260","2,596","920","209","25","211,879","211,879","5,781","9,956","11,557","11,042","12,787","13,256","11,586","12,584","16,788","16,898","17,331","15,273","16,356","12,891","10,331","7,663","5,832","2,771","958","206","32"
"광주광역시 남구 양림동(2915551000)","7,191","7,191","148","348","363","383","423","401","305","395","493","564","592","517","562","458","470","369","230","113","48","9","0","6,991","6,991","134","282","361","392","420","367","319","314","494","506","598","497","553","454","493","366","249","135","52","3","2","6,761","6,761","124","236","349","360","407","353","309","252","459","495","557","529","517","460","482","374","298","146","48","5","1"
"광주광역시 남구 방림1동(2915552000)","6,966","6,966","225","313","349","335","456","436","366","502","546","555","527","470","545","389","391","274","174","87","23","2","1","6,615","6,615","204","301","334","318","406","418","358","418","548","507","519","442","518","390","350","295","193","67","25","4","0","6,546","6,546","190","279","341","304","385","407","348","397","528","481","557","453","484","407","352","304","209","91","25","4","0"
"광주광역시 남구 방림2동(2915553000)","9,051","9,051","179","298","342","427","632","609","407","489","555","692","705","775","782","615","604","437","290","150","52","9","2","8,865","8,865","170","276","330","396","593","578","407","428","536","652","726","732","788","617","628","458","315","168","52","13","2","8,466","8,466","146","251","304","354","528","542","395","384","496","601","701","681","767","629","623","470","351","165","61","13","4"
"광주광역시 남구 봉선1동(2915553700)","13,945","13,945","324","567","653","702","993","1,025","666","915","1,005","1,161","1,120","1,052","1,110","805","642","516","380","208","81","18","2","13,413","13,413","279","511","620","646","917","1,036","682","815","939","1,041","1,137","972","1,111","840","653","473","416","222","78","22","3","12,841","12,841","240","444","609","622","827","965","697","673","929","967","1,086","955","1,066","856","658","484","429","232","80","21","1"
"광주광역시 남구 봉선2동(2915553800)","29,134","29,134","866","2,078","2,554","2,387","1,996","1,358","1,069","1,774","2,620","2,974","2,493","1,827","1,728","1,158","822","622","453","235","97","22","1","28,758","28,758","801","2,083","2,609","2,290","1,871","1,269","1,011","1,655","2,683","2,941","2,514","1,764","1,745","1,224","823","629","474","247","99","24","2","28,157","28,157","676","1,994","2,611","2,306","1,693","1,179","974","1,496","2,600","2,949","2,505","1,726","1,725","1,315","868","625","514","284","92","22","3"
"광주광역시 남구 사직동(2915554500)","5,258","5,258","132","154","131","150","307","346","288","359","339","374","418","436","468","370","364","322","193","77","26","4","0","5,159","5,159","110","153","136","148","292","346","288","317","351","373","392","427","451","379","359","296","221","91","22","6","1","4,879","4,879","98","134","130","126","254","314","294","282","304","341","374","403","433","363","352","299","245","102","24","6","1"
"광주광역시 남구 월산동(2915560500)","7,334","7,334","149","226","176","227","393","490","353","449","458","504","591","608","647","520","590","472","275","135","59","12","0","8,781","8,781","293","291","223","299","465","566","566","607","596","628","700","628","750","555","596","476","322","156","52","11","1","8,781","8,781","283","316","233","286","422","551","586","584","625","619","711","630","720","585","553","497","361","159","53","6","1"
"광주광역시 남구 월산4동(2915563000)","8,770","8,770","120","242","288","300","531","668","492","563","529","662","714","798","846","665","563","392","237","114","37","8","1","8,430","8,430","107","203","284","258","497","641","483","517","507","592","692","725","853","665","545","416","271","121","45","7","1","8,326","8,326","103","180","261","267","460","646","504","447","536","568","686","719","804","675","557","430","290","144","39","8","2"
"광주광역시 남구 월산5동(2915564000)","6,501","6,501","95","150","138","223","448","523","337","397","399","402","540","662","675","532","407","295","168","78","28","4","0","6,388","6,388","89","145","138","190","405","502","371","356","387","414","523","601","712","543","397","303","186","92","27","7","0","6,184","6,184","76","119","137","179","374","494","378","295","365","400","495","570","673","547","408","331","210","99","25","9","0"
"광주광역시 남구 백운1동(2915567000)","12,478","12,478","398","628","547","591","778","764","602","901","973","931","919","957","1,047","796","627","475","313","155","66","9","1","12,173","12,173","320","563","593","553","729","746","586","780","955","873","977","912","1,035","840","647","492","340","149","72","11","0","11,893","11,893","268","497","583","546","653","761","569","648","939","889","972","879","1,032","869","661","502","369","170","75","11","0"
"광주광역시 남구 백운2동(2915568000)","6,275","6,275","199","234","178","255","444","507","403","447","431","440","444","485","507","381","355","292","172","71","26","4","0","6,342","6,342","209","242","176","231","445","546","435","453","429","418","456","486","511","401","332","279","177","81","31","4","0","6,186","6,186","204","232","175","212","415","543","438","394","436","402","464","431","511","390","321","276","216","87","36","3","0"
"광주광역시 남구 주월1동(2915569000)","19,449","19,449","591","782","899","1,130","1,457","1,348","970","1,260","1,385","1,633","1,676","1,587","1,580","1,041","887","621","356","174","61","10","1","21,867","21,867","674","1,001","1,012","1,242","1,586","1,555","1,206","1,395","1,642","1,846","1,882","1,659","1,691","1,195","955","652","396","201","60","16","1","21,430","21,430","606","888","1,047","1,201","1,415","1,458","1,231","1,286","1,624","1,816","1,844","1,678","1,678","1,281","971","682","444","194","68","16","2"
"광주광역시 남구 주월2동(2915570000)","8,312","8,312","201","303","261","332","584","544","401","518","516","598","689","759","773","611","516","363","213","90","30","9","1","7,984","7,984","167","281","247","289","513","519","400","480","503","564","663","681","794","633","503","380","234","95","30","6","2","7,772","7,772","128","245","273","260","470","514","399","412","514","534","605","653","784","635","530","381","283","101","36","10","5"
"광주광역시 남구 진월동(2915570500)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29,296","29,296","680","1,453","2,077","2,008","2,311","1,795","1,271","1,589","2,342","2,553","2,540","2,178","2,023","1,442","1,171","834","624","277","96","31","1","28,520","28,520","587","1,285","1,992","1,964","2,169","1,764","1,283","1,413","2,177","2,441","2,530","2,161","2,092","1,442","1,256","843","679","313","100","26","3"
"광주광역시 남구 효덕동(2915571000)","46,017","46,017","1,383","2,511","2,989","2,997","3,467","3,013","2,238","3,116","3,806","3,969","3,569","3,225","3,041","2,222","1,810","1,248","806","416","142","43","6","16,122","16,122","592","940","929","792","984","1,122","1,026","1,214","1,462","1,246","1,139","969","1,139","928","700","436","273","151","54","20","6","15,824","15,824","506","847","904","798","930","1,107","1,046","1,050","1,440","1,236","1,167","968","1,143","949","708","474","328","139","58","19","7"
"광주광역시 남구 송암동(2915572000)","20,273","20,273","1,441","1,612","1,135","938","1,247","1,166","1,529","2,285","1,903","1,558","1,326","1,207","1,131","682","439","301","212","92","56","11","2","21,425","21,425","1,383","1,746","1,236","962","1,236","1,289","1,559","2,252","2,145","1,633","1,456","1,248","1,212","829","499","307","236","126","57","13","1","21,152","21,152","1,237","1,695","1,310","1,004","1,089","1,249","1,513","2,044","2,234","1,654","1,485","1,248","1,212","882","549","315","248","117","53","12","2"
