"행정구역","2014년_거주자_총인구수","2014년_거주자_연령구간인구수","2014년_거주자_0~4세","2014년_거주자_5~9세","2014년_거주자_10~14세","2014년_거주자_15~19세","2014년_거주자_20~24세","2014년_거주자_25~29세","2014년_거주자_30~34세","2014년_거주자_35~39세","2014년_거주자_40~44세","2014년_거주자_45~49세","2014년_거주자_50~54세","2014년_거주자_55~59세","2014년_거주자_60~64세","2014년_거주자_65~69세","2014년_거주자_70~74세","2014년_거주자_75~79세","2014년_거주자_80~84세","2014년_거주자_85~89세","2014년_거주자_90~94세","2014년_거주자_95~99세","2014년_거주자_100세 이상"
"광주광역시 동구 (2911000000)","99,176","99,176","3,664","2,987","4,020","5,774","7,047","6,514","7,383","6,412","7,058","7,031","8,001","8,212","6,485","6,071","5,319","3,707","2,058","996","353","69","15"
"광주광역시 동구 충장동(2911052500)","4,565","4,565","90","56","97","183","311","380","381","258","298","341","414","444","380","326","288","146","98","53","16","5","0"
"광주광역시 동구 동명동(2911054500)","4,715","4,715","111","100","164","208","344","395","340","257","350","319","313","393","331","346","304","214","130","70","20","4","2"
"광주광역시 동구 계림1동(2911056000)","8,185","8,185","236","168","252","395","494","558","713","555","615","598","683","722","596","552","469","314","150","72","35","7","1"
"광주광역시 동구 계림2동(2911057000)","10,695","10,695","356","441","531","645","750","561","725","699","835","791","879","852","635","648","622","378","219","94","28","5","1"
"광주광역시 동구 산수1동(2911059000)","8,133","8,133","322","186","287","488","541","517","640","545","578","615","653","684","501","500","479","327","165","76","24","4","1"
"광주광역시 동구 산수2동(2911060000)","11,180","11,180","376","394","543","782","837","695","681","660","794","819","944","936","691","691","585","407","221","85","30","9","0"
"광주광역시 동구 지산1동(2911062000)","4,995","4,995","226","175","190","255","412","378","399","393","394","336","343","375","306","262","222","181","75","44","26","1","2"
"광주광역시 동구 지산2동(2911063000)","5,951","5,951","204","179","296","436","492","421","429","344","475","472","443","417","335","294","312","225","109","47","17","4","0"
"광주광역시 동구 서남동(2911065500)","3,731","3,731","94","56","105","193","373","353","309","244","233","240","289","297","226","250","176","134","99","41","14","4","1"
"광주광역시 동구 학동(2911068500)","7,487","7,487","422","192","203","384","480","475","707","588","484","489","654","566","489","440","388","273","148","76","25","3","1"
"광주광역시 동구 학운동(2911071000)","13,295","13,295","509","470","580","864","925","785","931","805","881","823","1,014","1,146","901","817","709","573","322","163","66","9","2"
"광주광역시 동구 지원1동(2911073000)","8,890","8,890","366","345","437","559","632","558","609","598","625","647","759","740","599","503","401","253","156","75","19","8","1"
"광주광역시 동구 지원2동(2911074000)","7,354","7,354","352","225","335","382","456","438","519","466","496","541","613","640","495","442","364","282","166","100","33","6","3"
