"행정구역","2015년_거주자_총인구수","2015년_거주자_연령구간인구수","2015년_거주자_0~4세","2015년_거주자_5~9세","2015년_거주자_10~14세","2015년_거주자_15~19세","2015년_거주자_20~24세","2015년_거주자_25~29세","2015년_거주자_30~34세","2015년_거주자_35~39세","2015년_거주자_40~44세","2015년_거주자_45~49세","2015년_거주자_50~54세","2015년_거주자_55~59세","2015년_거주자_60~64세","2015년_거주자_65~69세","2015년_거주자_70~74세","2015년_거주자_75~79세","2015년_거주자_80~84세","2015년_거주자_85~89세","2015년_거주자_90~94세","2015년_거주자_95~99세","2015년_거주자_100세 이상","2016년_거주자_총인구수","2016년_거주자_연령구간인구수","2016년_거주자_0~4세","2016년_거주자_5~9세","2016년_거주자_10~14세","2016년_거주자_15~19세","2016년_거주자_20~24세","2016년_거주자_25~29세","2016년_거주자_30~34세","2016년_거주자_35~39세","2016년_거주자_40~44세","2016년_거주자_45~49세","2016년_거주자_50~54세","2016년_거주자_55~59세","2016년_거주자_60~64세","2016년_거주자_65~69세","2016년_거주자_70~74세","2016년_거주자_75~79세","2016년_거주자_80~84세","2016년_거주자_85~89세","2016년_거주자_90~94세","2016년_거주자_95~99세","2016년_거주자_100세 이상"
"광주광역시 동구 (2911000000)","97,137","97,137","3,613","2,990","3,446","5,496","6,936","6,196","6,872","6,495","6,612","6,976","7,422","8,355","6,757","6,148","5,235","3,854","2,230","1,057","357","76","14","94,100","94,100","3,256","3,008","3,159","5,110","6,782","6,064","6,081","6,315","6,205","6,887","7,073","8,323","6,842","5,995","5,003","4,039","2,381","1,121","358","84","14"
"광주광역시 동구 충장동(2911052500)","4,525","4,525","80","60","81","174","304","404","360","281","284","331","361","434","399","340","289","158","104","60","18","3","0","4,404","4,404","58","51","62","149","308","413","332","250","260","314","340","460","416","331","289","179","108","63","18","3","0"
"광주광역시 동구 동명동(2911054500)","4,560","4,560","110","97","133","209","327","378","328","265","309","311","288","372","325","346","305","207","147","74","21","6","2","4,410","4,410","87","96","132","204","323","346","294","243","282","325","273","365","340","315","295","233","152","73","28","3","1"
"광주광역시 동구 계림1동(2911056000)","7,884","7,884","211","155","195","371","486","503","629","529","529","621","635","749","634","571","475","299","178","75","29","8","2","6,788","6,788","164","142","151","322","421","437","448","448","438","558","572","660","557","503","392","279","179","76","34","6","1"
"광주광역시 동구 계림2동(2911057000)","10,018","10,018","329","381","469","609","695","533","611","671","779","761","782","821","640","636","549","407","208","103","31","3","0","9,506","9,506","292","375","403","597","644","498","518","620","703","776","706","832","624","590","526","418","228","118","29","7","2"
"광주광역시 동구 산수1동(2911059000)","7,709","7,709","252","209","238","473","512","432","541","523","548","591","616","649","527","502","452","343","189","83","24","4","1","6,734","6,734","168","194","189","389","453","412","416","439","461","508","562","586","491","462","390","328","179","79","22","5","1"
"광주광역시 동구 산수2동(2911060000)","11,021","11,021","371","378","461","741","854","667","678","654","720","850","862","960","759","661","605","436","234","89","29","12","0","10,768","10,768","335","389","415","691","831","648","598","635","714","801","821","977","793","653","593","468","265","97","33","11","0"
"광주광역시 동구 지산1동(2911062000)","4,814","4,814","215","174","165","244","402","375","363","366","346","327","337","378","313","254","215","175","93","48","20","2","2","4,766","4,766","182","175","167","241","436","343","317","365","346","346","328","355","310","277","206","200","104","47","15","5","1"
"광주광역시 동구 지산2동(2911063000)","5,657","5,657","195","180","256","396","485","380","367","348","436","460","390","440","325","302","285","226","118","56","7","5","0","5,570","5,570","174","183","236","381","496","373","312","341","396","483","401","433","316","307","288","236","136","63","11","4","0"
"광주광역시 동구 서남동(2911065500)","3,503","3,503","88","57","80","168","347","336","285","236","213","232","245","300","220","236","175","137","88","42","13","5","0","3,482","3,482","82","60","83","165","336","378","264","214","197","224","246","293","236","210","190","140","104","36","20","4","0"
"광주광역시 동구 학동(2911068500)","7,202","7,202","406","195","159","345","428","465","634","586","461","451","588","583","503","448","385","280","174","79","28","3","1","6,830","6,830","357","175","161","280","414","440","517","576","419","431","540","608","516","453","377","277","171","91","23","3","1"
"광주광역시 동구 학운동(2911071000)","13,272","13,272","521","492","498","821","942","752","810","844","836","864","990","1,202","921","859","693","615","361","172","67","11","1","13,091","13,091","461","494","504","748","948","722","715","813","806","879","976","1,191","978","862","688","650","388","190","59","18","1"
"광주광역시 동구 지원1동(2911073000)","8,310","8,310","303","333","369","498","622","482","533","543","583","592","680","721","616","500","395","268","156","85","24","5","2","7,723","7,723","249","325","317","445","565","468","435","500","521","589","594","717","594","488","358","275","169","81","27","4","2"
"광주광역시 동구 지원2동(2911074000)","8,662","8,662","532","279","342","447","532","489","733","649","568","585","648","746","575","493","412","303","180","91","46","9","3","10,028","10,028","647","349","339","498","607","586","915","871","662","653","714","846","671","544","411","356","198","107","39","11","4"
