"행정구역","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~4세","2020년_거주자_5~9세","2020년_거주자_10~14세","2020년_거주자_15~19세","2020년_거주자_20~24세","2020년_거주자_25~29세","2020년_거주자_30~34세","2020년_거주자_35~39세","2020년_거주자_40~44세","2020년_거주자_45~49세","2020년_거주자_50~54세","2020년_거주자_55~59세","2020년_거주자_60~64세","2020년_거주자_65~69세","2020년_거주자_70~74세","2020년_거주자_75~79세","2020년_거주자_80~84세","2020년_거주자_85~89세","2020년_거주자_90~94세","2020년_거주자_95~99세","2020년_거주자_100세 이상","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~4세","2021년_거주자_5~9세","2021년_거주자_10~14세","2021년_거주자_15~19세","2021년_거주자_20~24세","2021년_거주자_25~29세","2021년_거주자_30~34세","2021년_거주자_35~39세","2021년_거주자_40~44세","2021년_거주자_45~49세","2021년_거주자_50~54세","2021년_거주자_55~59세","2021년_거주자_60~64세","2021년_거주자_65~69세","2021년_거주자_70~74세","2021년_거주자_75~79세","2021년_거주자_80~84세","2021년_거주자_85~89세","2021년_거주자_90~94세","2021년_거주자_95~99세","2021년_거주자_100세 이상","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~4세","2022년_거주자_5~9세","2022년_거주자_10~14세","2022년_거주자_15~19세","2022년_거주자_20~24세","2022년_거주자_25~29세","2022년_거주자_30~34세","2022년_거주자_35~39세","2022년_거주자_40~44세","2022년_거주자_45~49세","2022년_거주자_50~54세","2022년_거주자_55~59세","2022년_거주자_60~64세","2022년_거주자_65~69세","2022년_거주자_70~74세","2022년_거주자_75~79세","2022년_거주자_80~84세","2022년_거주자_85~89세","2022년_거주자_90~94세","2022년_거주자_95~99세","2022년_거주자_100세 이상"
"광주광역시 동구 (2911000000)","101,332","101,332","3,327","3,845","3,291","4,014","7,323","7,463","6,252","7,042","6,587","7,058","7,593","7,700","8,110","6,362","5,556","4,564","3,151","1,461","506","111","16","102,492","102,492","3,354","3,939","3,419","3,828","7,166","7,641","6,497","6,835","7,005","6,870","7,705","7,524","8,288","6,658","5,637","4,498","3,318","1,621","556","117","16","105,068","105,068","3,569","4,057","3,612","3,879","6,979","7,826","7,147","6,860","7,433","6,903","7,954","7,470","8,137","6,952","5,680","4,458","3,712","1,710","597","118","15"
"광주광역시 동구 충장동(2911052500)","4,374","4,374","29","35","52","98","434","645","325","255","227","261","323","297","377","342","264","202","116","64","22","6","0","4,551","4,551","36","29","38","94","501","763","381","264","226","246","286","293","370","352","261","199","122","62","23","5","0","5,034","5,034","47","23","44","84","585","985","520","269","228","246","283","309","363","349","268","203","136","63","23","5","1"
"광주광역시 동구 동명동(2911054500)","3,745","3,745","32","63","86","126","346","391","240","170","185","244","265","231","319","259","262","248","150","91","33","3","1","3,770","3,770","36","52","77","107","358","465","282","177","182","217","247","233","296","258","257","236","163","93","28","6","0","3,618","3,618","38","46","75","111","383","376","277","158","184","196","243","227","252","263","240","233","192","91","29","4","0"
"광주광역시 동구 계림1동(2911056000)","10,204","10,204","468","385","240","343","630","674","826","907","680","728","806","800","824","615","498","379","228","117","38","17","1","10,904","10,904","545","438","277","323","664","748","884","965","805","739","873","803","841","668","543","367","225","133","44","17","2","10,416","10,416","488","421","254","301","564","743","862","884","763","691","844","757","822","676","544","335","272","133","44","16","2"
"광주광역시 동구 계림2동(2911057000)","7,769","7,769","302","430","316","378","504","410","410","510","589","581","547","553","525","453","433","395","278","113","36","5","1","9,761","9,761","455","606","409","423","596","490","634","770","794","716","704","567","635","527","495","422","300","164","46","8","0","12,853","12,853","785","848","560","549","655","634","1,064","1,170","1,116","943","906","707","716","629","535","445","355","179","48","8","1"
"광주광역시 동구 산수1동(2911059000)","8,743","8,743","256","294","291","342","624","586","548","596","594","651","702","717","646","546","471","412","289","127","43","8","0","8,505","8,505","234","265","325","310","581","578","526","523","611","577","703","703","669","547","453","408","298","137","48","6","3","8,166","8,166","222","240","323","308","531","559","469","511","581","577","636","668","651","539","440","394","321","135","55","5","1"
"광주광역시 동구 산수2동(2911060000)","10,332","10,332","229","373","366","461","704","630","494","589","635","712","884","861","946","707","635","537","356","164","42","6","1","10,460","10,460","231","373","366","425","655","651","540","561","657","726","841","875","953","774","645","537","396","189","55","8","2","10,091","10,091","230","344","359","375","546","633","589","498","646","663","839","848","904","767","616","529","440","188","67","8","2"
"광주광역시 동구 지산1동(2911062000)","4,314","4,314","70","129","156","184","446","422","240","240","267","295","314","291","324","266","232","204","149","55","26","4","0","4,206","4,206","52","116","150","175","454","428","240","213","250","288","316","285","305","258","230","181","167","72","23","3","0","4,111","4,111","49","83","132","181","479","416","243","187","225","276","316","278","320","252","212","185","171","81","19","6","0"
"광주광역시 동구 지산2동(2911063000)","4,657","4,657","67","142","163","222","513","410","208","217","244","353","381","342","348","265","243","241","192","69","29","7","1","4,518","4,518","61","125","153","196","500","415","231","170","237","319","389","330","346","268","243","228","181","86","32","7","1","4,372","4,372","57","124","153","175","464","380","223","168","232","290","382","308","328","293","249","201","209","99","31","5","1"
"광주광역시 동구 서남동(2911065500)","3,088","3,088","29","51","56","81","428","441","222","152","150","170","182","197","249","190","182","132","107","47","16","4","2","2,989","2,989","24","54","53","79","425","472","217","126","150","156","172","173","221","188","167","137","98","56","13","6","2","2,924","2,924","14","50","45","76","485","456","224","125","123","137","171","162","187","180","167","127","113","59","15","7","1"
"광주광역시 동구 학동(2911068500)","8,048","8,048","385","385","268","284","558","601","483","654","557","562","574","602","559","461","407","350","221","100","28","9","0","7,635","7,635","350","375","262","279","496","522","430","581","592","488","580","542","553","469","405","336","230","101","37","7","0","7,381","7,381","303","328","274","271","456","515","449","493","576","480","575","494","544","491","400","317","268","99","39","8","1"
"광주광역시 동구 학운동(2911071000)","11,753","11,753","220","420","443","503","716","685","500","584","685","783","862","934","1,124","880","842","662","539","261","84","22","4","11,370","11,370","195","371","419","484","627","635","495","529","652","732","827","912","1,108","926","830","650","570","276","105","23","4","11,166","11,166","190","328","415","472","567","647","484","485","647","677","865","847","1,041","966","842","659","611","287","112","20","4"
"광주광역시 동구 지원1동(2911073000)","7,940","7,940","234","302","306","344","468","484","482","535","508","570","594","687","691","564","463","348","208","103","41","8","0","7,803","7,803","222","295","324","322","425","463","442","508","524","545","607","633","731","569","470","345","215","113","39","11","0","8,977","8,977","308","338","372","375","467","552","544","572","668","615","708","721","768","640","517","364","256","130","51","11","0"
"광주광역시 동구 지원2동(2911074000)","16,365","16,365","1,006","836","548","648","952","1,084","1,274","1,633","1,266","1,148","1,159","1,188","1,178","814","624","454","318","150","68","12","5","16,020","16,020","913","840","566","611","884","1,011","1,195","1,448","1,325","1,121","1,160","1,175","1,260","854","638","452","353","139","63","10","2","15,959","15,959","838","884","606","601","797","930","1,199","1,340","1,444","1,112","1,186","1,144","1,241","907","650","466","368","166","64","15","1"
