"青沥备开","2014斥_芭林磊_醚牢备荐","2014斥_芭林磊_楷飞备埃牢备荐","2014斥_芭林磊_0~4技","2014斥_芭林磊_5~9技","2014斥_芭林磊_10~14技","2014斥_芭林磊_15~19技","2014斥_芭林磊_20~24技","2014斥_芭林磊_25~29技","2014斥_芭林磊_30~34技","2014斥_芭林磊_35~39技","2014斥_芭林磊_40~44技","2014斥_芭林磊_45~49技","2014斥_芭林磊_50~54技","2014斥_芭林磊_55~59技","2014斥_芭林磊_60~64技","2014斥_芭林磊_65~69技","2014斥_芭林磊_70~74技","2014斥_芭林磊_75~79技","2014斥_芭林磊_80~84技","2014斥_芭林磊_85~89技","2014斥_芭林磊_90~94技","2014斥_芭林磊_95~99技","2014斥_芭林磊_100技 捞惑"
"堡林堡开矫 合备 (2917000000)","445,229","445,229","19,511","20,348","25,663","34,450","35,029","28,638","34,241","32,677","37,720","38,074","37,383","31,519","21,088","17,210","13,475","9,369","5,309","2,529","806","168","22"
"堡林堡开矫 合备 吝蕊1悼(2917051000)","3,492","3,492","81","66","103","170","239","276","323","229","242","269","309","314","233","222","194","122","55","35","9","1","0"
"堡林堡开矫 合备 吝蕊2悼(2917052000)","8,834","8,834","241","254","317","508","757","755","722","582","616","600","659","734","564","537","450","301","136","70","24","5","2"
"堡林堡开矫 合备 吝蕊3悼(2917053000)","5,517","5,517","99","140","209","295","471","417","434","376","370","436","459","430","369","365","295","208","97","29","14","3","1"
"堡林堡开矫 合备 吝居悼(2917055500)","3,855","3,855","46","63","86","183","275","240","250","234","239","333","381","364","297","302","224","170","98","46","20","4","0"
"堡林堡开矫 合备 烙悼(2917057000)","9,981","9,981","432","380","375","504","634","645","908","761","744","749","758","806","699","591","463","276","151","73","26","6","0"
"堡林堡开矫 合备 脚救悼(2917058000)","11,794","11,794","289","289","401","673","1,026","1,040","1,044","763","848","885","1,046","993","711","637","545","354","153","69","22","5","1"
"堡林堡开矫 合备 侩豪悼(2917059000)","39,971","39,971","1,474","1,673","2,316","3,325","3,780","2,895","2,770","2,629","3,326","3,643","3,687","2,829","1,813","1,415","1,089","688","387","154","60","16","2"
"堡林堡开矫 合备 款鞠1悼(2917060100)","20,922","20,922","1,020","1,011","1,233","1,711","1,728","1,383","1,569","1,504","1,604","1,746","1,709","1,699","1,116","712","518","308","196","115","34","5","1"
"堡林堡开矫 合备 款鞠2悼(2917060200)","14,655","14,655","444","441","609","1,069","1,181","1,024","1,023","918","1,040","1,152","1,367","1,335","953","789","587","398","208","84","26","7","0"
"堡林堡开矫 合备 款鞠3悼(2917060300)","18,231","18,231","722","732","1,044","1,598","1,629","1,404","1,327","1,145","1,327","1,592","1,678","1,444","826","626","428","321","238","107","36","7","0"
"堡林堡开矫 合备 悼覆悼(2917061500)","21,807","21,807","1,256","1,230","1,377","1,628","1,485","1,229","2,070","1,877","1,985","1,740","1,643","1,332","966","778","527","347","189","106","37","5","0"
"堡林堡开矫 合备 快魂悼(2917062000)","14,075","14,075","341","368","542","944","1,051","887","911","766","977","1,044","1,270","1,303","1,078","929","714","481","284","138","39","6","2"
"堡林堡开矫 合备 浅氢悼(2917063500)","4,568","4,568","120","109","178","265","300","309","348","307","335","359","401","384","339","302","236","155","63","41","14","3","0"
"堡林堡开矫 合备 巩拳悼(2917065000)","14,877","14,877","528","527","686","942","1,118","918","1,060","980","1,094","1,094","1,332","1,287","951","816","634","452","279","130","38","10","1"
"堡林堡开矫 合备 巩蕊1悼(2917065600)","18,908","18,908","695","892","1,271","1,757","1,770","1,117","1,144","1,223","1,532","1,691","1,857","1,388","781","654","475","355","172","100","23","9","2"
"堡林堡开矫 合备 巩蕊2悼(2917065700)","18,432","18,432","934","946","1,095","1,412","1,392","1,263","1,463","1,455","1,593","1,493","1,488","1,268","774","597","526","398","193","108","29","5","0"
