"青沥备开","2015斥_芭林磊_醚牢备荐","2015斥_芭林磊_楷飞备埃牢备荐","2015斥_芭林磊_0~4技","2015斥_芭林磊_5~9技","2015斥_芭林磊_10~14技","2015斥_芭林磊_15~19技","2015斥_芭林磊_20~24技","2015斥_芭林磊_25~29技","2015斥_芭林磊_30~34技","2015斥_芭林磊_35~39技","2015斥_芭林磊_40~44技","2015斥_芭林磊_45~49技","2015斥_芭林磊_50~54技","2015斥_芭林磊_55~59技","2015斥_芭林磊_60~64技","2015斥_芭林磊_65~69技","2015斥_芭林磊_70~74技","2015斥_芭林磊_75~79技","2015斥_芭林磊_80~84技","2015斥_芭林磊_85~89技","2015斥_芭林磊_90~94技","2015斥_芭林磊_95~99技","2015斥_芭林磊_100技 捞惑","2016斥_芭林磊_醚牢备荐","2016斥_芭林磊_楷飞备埃牢备荐","2016斥_芭林磊_0~4技","2016斥_芭林磊_5~9技","2016斥_芭林磊_10~14技","2016斥_芭林磊_15~19技","2016斥_芭林磊_20~24技","2016斥_芭林磊_25~29技","2016斥_芭林磊_30~34技","2016斥_芭林磊_35~39技","2016斥_芭林磊_40~44技","2016斥_芭林磊_45~49技","2016斥_芭林磊_50~54技","2016斥_芭林磊_55~59技","2016斥_芭林磊_60~64技","2016斥_芭林磊_65~69技","2016斥_芭林磊_70~74技","2016斥_芭林磊_75~79技","2016斥_芭林磊_80~84技","2016斥_芭林磊_85~89技","2016斥_芭林磊_90~94技","2016斥_芭林磊_95~99技","2016斥_芭林磊_100技 捞惑"
"堡林堡开矫 合备 (2917000000)","443,808","443,808","19,441","20,461","23,144","33,285","35,559","28,105","32,333","32,835","36,416","38,189","36,519","33,618","22,698","18,258","13,634","9,760","5,687","2,803","839","199","25","438,453","438,453","18,542","20,230","21,465","31,299","35,091","28,094","29,755","32,717","34,446","38,244","35,828","35,339","24,060","18,703","13,850","10,483","6,131","3,005","918","216","37"
"堡林堡开矫 合备 吝蕊1悼(2917051000)","3,820","3,820","113","76","91","185","277","329","367","266","270","289","292","363","233","244","197","127","61","32","8","0","0","3,850","3,850","122","76","86","170","276","330","348","294","239","276","304","380","248","252","188","135","76","37","12","1","0"
"堡林堡开矫 合备 吝蕊2悼(2917052000)","8,603","8,603","214","238","285","493","741","727","633","574","566","624","618","722","583","535","453","327","170","65","29","3","3","8,450","8,450","207","239","271","444","733","716","611","552","562","598","580","710","600","560","454","312","196","74","26","3","2"
"堡林堡开矫 合备 吝蕊3悼(2917053000)","5,740","5,740","136","142","193","287","504","471","409","413","383","459","428","460","403","384","303","217","96","35","11","6","0","5,911","5,911","157","141","180","274","519","491","410","442","387","437","458","513","403","390","324","226","106","39","7","7","0"
"堡林堡开矫 合备 吝居悼(2917055500)","3,864","3,864","46","62","65","173","278","239","280","212","244","288","382","379","316","333","214","164","105","56","22","5","1","3,716","3,716","51","55","56","154","258","252","250","210","220","298","341","394","312","286","206","175","113","58","21","5","1"
"堡林堡开矫 合备 烙悼(2917057000)","9,910","9,910","447","397","329","481","645","648","867","795","696","749","718","825","690","621","451","286","150","83","25","6","1","9,519","9,519","462","363","289","441","567","611","760","800","655","754","673","805","705","597","460","315","145","83","28","4","2"
"堡林堡开矫 合备 脚救悼(2917058000)","11,726","11,726","305","264","372","645","1,036","1,008","1,012","768","841","843","993","1,023","735","675","543","372","180","81","21","8","1","11,428","11,428","280","237","344","591","1,028","986","936","722","766","859","905","1,075","776","665","536","400","201","81","30","9","1"
"堡林堡开矫 合备 侩豪悼(2917059000)","39,209","39,209","1,402","1,604","2,070","3,134","3,785","2,908","2,589","2,534","3,121","3,556","3,612","2,995","1,890","1,528","1,089","728","394","189","64","14","3","38,546","38,546","1,369","1,521","1,832","2,947","3,732","3,022","2,459","2,431","2,882","3,511","3,527","3,204","1,969","1,537","1,117","775","435","187","72","10","7"
"堡林堡开矫 合备 款鞠1悼(2917060100)","20,662","20,662","1,022","1,048","1,100","1,679","1,641","1,343","1,475","1,517","1,554","1,676","1,634","1,730","1,235","774","538","338","201","114","35","8","0","20,652","20,652","999","1,094","1,016","1,628","1,623","1,314","1,402","1,524","1,561","1,679","1,627","1,730","1,328","821","558","378","207","120","33","8","2"
"堡林堡开矫 合备 款鞠2悼(2917060200)","14,331","14,331","432","436","529","984","1,192","1,012","946","925","967","1,123","1,246","1,361","1,019","795","596","407","235","89","29","7","1","13,832","13,832","401","414","484","882","1,119","964","860","902","895","1,116","1,151","1,358","998","837","613","443","254","101","31","7","2"
"堡林堡开矫 合备 款鞠3悼(2917060300)","17,788","17,788","675","713","916","1,508","1,621","1,321","1,252","1,067","1,267","1,543","1,646","1,531","896","662","446","313","240","126","38","6","1","17,142","17,142","631","689","840","1,320","1,535","1,280","1,130","1,068","1,185","1,438","1,525","1,604","1,018","667","465","319","249","124","47","8","0"
"堡林堡开矫 合备 悼覆悼(2917061500)","21,591","21,591","1,208","1,198","1,232","1,562","1,547","1,238","1,828","1,944","1,835","1,796","1,606","1,440","1,057","826","544","361","202","120","38","9","0","21,203","21,203","1,127","1,149","1,137","1,502","1,510","1,272","1,569","1,954","1,768","1,807","1,566","1,542","1,096","847","573","389","227","123","34","11","0"
"堡林堡开矫 合备 快魂悼(2917062000)","13,775","13,775","315","354","480","852","1,017","841","807","773","890","1,035","1,193","1,343","1,164","979","721","502","306","158","38","6","1","13,424","13,424","292","337","428","741","979","820","717","816","815","970","1,149","1,342","1,157","997","759","550","328","172","47","8","0"
"堡林堡开矫 合备 浅氢悼(2917063500)","4,350","4,350","98","110","162","230","296","295","321","280","310","344","364","415","305","309","229","153","74","37","15","3","0","4,199","4,199","91","112","145","218","293","257","289","256","289","336","339","424","296","315","220","177","79","42","19","2","0"
"堡林堡开矫 合备 巩拳悼(2917065000)","14,513","14,513","490","501","616","883","1,061","871","945","953","1,020","1,079","1,260","1,335","985","897","647","466","304","149","39","12","0","14,029","14,029","439","497","554","778","999","852","824","944","932","1,095","1,177","1,317","1,037","902","654","510","313","148","46","10","1"
"堡林堡开矫 合备 巩蕊1悼(2917065600)","18,508","18,508","668","886","1,124","1,639","1,716","1,131","1,066","1,187","1,431","1,642","1,763","1,518","909","677","476","342","199","98","28","7","1","18,123","18,123","589","873","1,021","1,549","1,677","1,155","925","1,116","1,363","1,627","1,714","1,615","963","685","495","369","225","115","37","9","1"
"堡林堡开矫 合备 巩蕊2悼(2917065700)","18,198","18,198","898","929","1,002","1,362","1,394","1,194","1,392","1,414","1,506","1,536","1,391","1,386","840","642","519","435","215","103","31","8","1","17,862","17,862","782","913","913","1,273","1,389","1,204","1,293","1,354","1,405","1,538","1,337","1,479","910","665","532","459","256","122","29","7","2"
