"행정구역","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_0~4세","2017년_거주자_5~9세","2017년_거주자_10~14세","2017년_거주자_15~19세","2017년_거주자_20~24세","2017년_거주자_25~29세","2017년_거주자_30~34세","2017년_거주자_35~39세","2017년_거주자_40~44세","2017년_거주자_45~49세","2017년_거주자_50~54세","2017년_거주자_55~59세","2017년_거주자_60~64세","2017년_거주자_65~69세","2017년_거주자_70~74세","2017년_거주자_75~79세","2017년_거주자_80~84세","2017년_거주자_85~89세","2017년_거주자_90~94세","2017년_거주자_95~99세","2017년_거주자_100세 이상","2018년_거주자_총인구수","2018년_거주자_연령구간인구수","2018년_거주자_0~4세","2018년_거주자_5~9세","2018년_거주자_10~14세","2018년_거주자_15~19세","2018년_거주자_20~24세","2018년_거주자_25~29세","2018년_거주자_30~34세","2018년_거주자_35~39세","2018년_거주자_40~44세","2018년_거주자_45~49세","2018년_거주자_50~54세","2018년_거주자_55~59세","2018년_거주자_60~64세","2018년_거주자_65~69세","2018년_거주자_70~74세","2018년_거주자_75~79세","2018년_거주자_80~84세","2018년_거주자_85~89세","2018년_거주자_90~94세","2018년_거주자_95~99세","2018년_거주자_100세 이상","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~4세","2019년_거주자_5~9세","2019년_거주자_10~14세","2019년_거주자_15~19세","2019년_거주자_20~24세","2019년_거주자_25~29세","2019년_거주자_30~34세","2019년_거주자_35~39세","2019년_거주자_40~44세","2019년_거주자_45~49세","2019년_거주자_50~54세","2019년_거주자_55~59세","2019년_거주자_60~64세","2019년_거주자_65~69세","2019년_거주자_70~74세","2019년_거주자_75~79세","2019년_거주자_80~84세","2019년_거주자_85~89세","2019년_거주자_90~94세","2019년_거주자_95~99세","2019년_거주자_100세 이상"
"광주광역시 북구 (2917000000)","436,261","436,261","17,586","20,125","21,128","29,042","34,287","28,741","27,543","33,070","33,343","37,960","35,879","35,723","25,651","19,236","14,040","11,735","6,679","3,189","1,029","248","27","437,343","437,343","17,202","19,978","20,437","27,488","33,690","29,548","26,647","33,733","32,103","37,298","36,719","36,397","27,663","19,403","15,119","11,943","7,220","3,356","1,096","266","37","431,057","431,057","15,569","19,604","20,000","25,225","32,163","30,375","25,475","31,696","31,283","36,773","36,606","35,493","29,737","19,927","16,069","12,183","7,646","3,671","1,255","265","42"
"광주광역시 북구 중흥1동(2917051000)","3,747","3,747","109","72","75","154","248","309","315","291","250","261","300","367","279","236","194","152","82","40","10","3","0","4,130","4,130","122","83","85","154","273","319","351","358","264","288","322","380","329","252","218","172","96","48","13","3","0","4,834","4,834","140","82","86","132","359","588","500","401","275","308","329","375","360","284","240","189","115","53","14","4","0"
"광주광역시 북구 중흥2동(2917052000)","8,152","8,152","179","238","255","402","705","699","529","541","537","604","546","667","600","534","437","355","198","84","35","7","0","7,190","7,190","153","203","204","335","655","656","431","451","429","516","512","568","559","448","413","334","198","82","38","5","0","6,915","6,915","119","194","214","299","617","685","414","394","418","504","468","522","547","437","405","330","214","94","31","8","1"
"광주광역시 북구 중흥3동(2917053000)","5,692","5,692","166","141","173","240","474","475","384","429","365","442","405","482","404","373","313","251","119","44","4","7","1","4,876","4,876","136","139","137","202","387","430","339","365","325","376","336","403","350","313","259","214","113","41","7","4","0","4,678","4,678","120","136","126","177","362","445","322","335","325","324","375","353","344","287","264","197","126","48","11","1","0"
"광주광역시 북구 중앙동(2917055500)","3,686","3,686","55","44","42","132","269","267","233","243","225","265","326","375","326","280","216","182","120","60","21","5","0","3,523","3,523","55","44","46","107","242","290","211","248","207","236","292","359","345","254","221","163","123","55","20","5","0","3,265","3,265","51","51","46","87","218","272","198","220","201","209","280","311","312","245","226","145","109","49","27","8","0"
"광주광역시 북구 임동(2917057000)","9,146","9,146","428","346","285","403","517","582","657","783","635","698","650","774","682","600","464","357","159","89","29","7","1","8,839","8,839","431","316","295","348","493","548","635","792","603","658","638","723","658","590","464","368","166","75","32","4","2","8,202","8,202","336","294","273","318","423","552","539","684","569","589","617","680","623","552","486","371","187","72","33","3","1"
"광주광역시 북구 신안동(2917058000)","10,989","10,989","235","229","277","529","949","1,033","810","725","720","816","860","1,031","780","689","505","430","248","82","35","6","0","10,709","10,709","214","217","254","451","905","1,028","773","746","669","761","836","1,008","812","644","545","450","266","94","28","8","0","10,753","10,753","174","205","267","407","872","1,136","769","743","636","805","838","929","876","627","537","484","293","109","35","10","1"
"광주광역시 북구 용봉동(2917059000)","38,742","38,742","1,346","1,536","1,772","2,742","3,722","3,109","2,421","2,565","2,775","3,463","3,485","3,264","2,139","1,596","1,146","870","487","211","71","18","4","38,770","38,770","1,344","1,565","1,689","2,565","3,657","3,233","2,361","2,651","2,568","3,371","3,452","3,391","2,344","1,572","1,231","931","532","222","63","25","3","38,515","38,515","1,236","1,555","1,667","2,363","3,612","3,409","2,310","2,544","2,475","3,235","3,445","3,320","2,561","1,619","1,300","953","551","258","80","17","5"
"광주광역시 북구 운암1동(2917060100)","20,645","20,645","979","1,111","1,054","1,463","1,647","1,349","1,279","1,607","1,522","1,704","1,637","1,646","1,364","908","586","406","207","129","35","10","2","20,505","20,505","942","1,107","1,034","1,398","1,589","1,293","1,190","1,597","1,529","1,630","1,661","1,619","1,446","960","644","442","248","110","55","9","2","20,019","20,019","815","1,104","1,047","1,312","1,474","1,228","1,073","1,486","1,508","1,612","1,638","1,587","1,514","1,019","690","468","247","136","53","8","0"
"광주광역시 북구 운암2동(2917060200)","13,393","13,393","346","426","445","789","1,040","944","779","862","861","1,026","1,133","1,317","1,055","825","625","488","277","111","31","11","2","13,073","13,073","306","403","390","755","1,012","926","751","841","801","994","1,137","1,271","1,089","781","657","503","287","121","33","13","2","12,794","12,794","262","381","399","648","969","912","727","775","785","1,001","1,057","1,207","1,120","846","705","505","313","129","38","13","2"
"광주광역시 북구 운암3동(2917060300)","16,729","16,729","577","644","805","1,219","1,467","1,237","1,061","1,043","1,089","1,389","1,481","1,582","1,148","698","467","379","244","134","55","10","0","15,995","15,995","500","608","718","1,104","1,355","1,190","970","1,010","976","1,315","1,424","1,614","1,199","713","481","376","228","155","50","7","2","14,944","14,944","442","586","680","964","1,198","1,107","851","949","956","1,196","1,331","1,440","1,223","698","517","357","239","155","46","6","3"
"광주광역시 북구 동림동(2917061500)","21,026","21,026","1,095","1,113","1,123","1,373","1,503","1,240","1,383","1,998","1,690","1,792","1,613","1,603","1,156","869","585","471","238","123","44","14","0","22,938","22,938","1,163","1,228","1,134","1,368","1,633","1,421","1,555","2,233","1,766","1,898","1,863","1,780","1,336","924","695","463","270","141","51","14","2","22,759","22,759","1,087","1,197","1,137","1,221","1,587","1,432","1,506","2,048","1,752","1,916","1,872","1,797","1,443","998","756","509","292","132","58","16","3"
"광주광역시 북구 우산동(2917062000)","12,802","12,802","235","314","398","658","894","769","636","721","752","939","1,086","1,319","1,132","987","772","607","342","170","55","16","0","11,453","11,453","199","275","316","530","793","705","529","634","649","827","935","1,157","1,103","914","743","585","330","162","53","14","0","11,064","11,064","186","278","297","465","730","725","505","559","606","769","871","1,081","1,091","932","803","563","353","170","68","10","2"
"광주광역시 북구 풍향동(2917063500)","6,284","6,284","293","272","237","325","422","371","463","553","459","504","452","517","369","374","246","250","100","48","24","5","0","6,361","6,361","297","289","263","294","433","365","414","567","481","487","487","498","388","365","275","248","127","51","21","10","1","6,096","6,096","276","295","263","268","417","352","353","537","445","509","476","450","392","327","277","236","130","60","27","5","1"
"광주광역시 북구 문화동(2917065000)","15,415","15,415","539","563","588","834","1,027","993","946","1,091","1,040","1,146","1,288","1,404","1,151","938","704","580","357","161","49","15","1","19,169","19,169","803","693","697","976","1,267","1,291","1,324","1,495","1,278","1,411","1,594","1,748","1,413","1,056","834","634","392","187","55","18","3","19,134","19,134","811","699","646","929","1,196","1,288","1,311","1,429","1,266","1,427","1,539","1,688","1,561","1,052","913","651","413","226","68","16","5"
"광주광역시 북구 문흥1동(2917065600)","17,616","17,616","537","816","972","1,418","1,567","1,199","884","1,039","1,269","1,561","1,673","1,624","1,040","697","488","425","248","112","40","6","1","17,185","17,185","495","793","910","1,283","1,495","1,168","832","1,026","1,200","1,467","1,628","1,666","1,127","693","542","418","276","122","37","6","1","16,912","16,912","458","779","916","1,174","1,380","1,150","780","1,017","1,200","1,435","1,555","1,623","1,234","746","591","407","298","112","44","11","2"
"광주광역시 북구 문흥2동(2917065700)","17,421","17,421","693","874","866","1,128","1,406","1,139","1,137","1,374","1,367","1,471","1,316","1,476","993","694","537","503","275","124","38","9","1","16,945","16,945","653","778","794","1,044","1,351","1,190","1,075","1,311","1,227","1,391","1,313","1,414","1,083","742","571","513","311","127","49","7","1","16,615","16,615","558","737","748","926","1,330","1,238","1,001","1,140","1,193","1,390","1,329","1,381","1,176","760","642","524","344","137","55","5","1"
"광주광역시 북구 두암1동(2917066100)","8,427","8,427","190","256","307","523","666","570","417","507","543","712","673","773","622","595","449","346","170","75","28","4","1","8,348","8,348","184","240","299","469","655","551","414","493","509","677","674","758","665","594","496","334","211","84","34","5","2","8,101","8,101","140","232","284","422","622","524","422","435","462","642","685","740","698","570","523","345","228","86","32","8","1"
"광주광역시 북구 두암2동(2917066200)","17,754","17,754","528","725","740","1,102","1,429","1,193","1,070","1,221","1,165","1,386","1,574","1,669","1,223","1,016","685","526","313","134","43","10","2","17,380","17,380","461","682","680","991","1,334","1,224","948","1,201","1,098","1,291","1,550","1,700","1,327","1,026","770","550","335","146","51","13","2","16,862","16,862","406","637","647","871","1,234","1,217","868","1,117","1,086","1,234","1,492","1,593","1,425","1,059","803","611","325","176","46","11","4"
"광주광역시 북구 두암3동(2917066300)","15,150","15,150","317","393","479","801","1,062","973","808","826","884","1,189","1,381","1,639","1,332","971","740","657","434","199","57","8","0","14,774","14,774","271","361","445","707","1,010","907","727","791","827","1,111","1,284","1,622","1,459","1,005","804","702","444","233","50","14","0","14,299","14,299","226","323","403","581","896","878","677","724","751","1,047","1,241","1,525","1,599","1,026","874","720","473","260","60","15","0"
"광주광역시 북구 삼각동(2917066600)","13,803","13,803","496","639","748","1,092","1,266","983","775","993","1,074","1,356","1,326","1,105","692","445","310","256","145","71","25","6","0","14,705","14,705","540","642","824","1,123","1,282","1,085","807","1,049","1,127","1,444","1,441","1,186","763","483","354","279","158","77","33","8","0","14,641","14,641","518","626","774","1,056","1,256","1,107","840","995","1,096","1,420","1,473","1,166","851","500","391","277","163","86","37","9","0"
"광주광역시 북구 일곡동(2917066900)","32,279","32,279","1,139","1,759","2,572","3,266","3,010","1,791","1,423","2,020","2,985","3,959","2,928","2,039","1,027","657","542","570","358","178","44","10","2","31,929","31,929","1,079","1,718","2,338","3,101","3,000","1,872","1,393","1,955","2,700","3,845","3,093","2,188","1,165","684","575","581","376","199","53","14","0","31,203","31,203","964","1,636","2,223","2,902","2,868","1,903","1,345","1,794","2,497","3,695","3,173","2,261","1,365","709","604","573","396","216","64","14","1"
"광주광역시 북구 매곡동(2917067300)","14,918","14,918","643","789","915","1,159","1,190","951","901","1,096","1,154","1,448","1,245","1,156","760","468","364","324","202","108","36","8","1","14,761","14,761","605","796","859","1,072","1,173","935","883","1,086","1,104","1,391","1,294","1,163","807","480","392","335","224","124","32","4","2","14,466","14,466","557","764","824","1,023","1,098","956","837","993","1,057","1,350","1,277","1,183","884","535","384","334","233","125","42","8","2"
"광주광역시 북구 오치1동(2917067600)","12,315","12,315","380","497","562","819","1,076","840","702","842","897","1,186","1,155","1,086","761","544","369","336","139","88","29","5","2","12,079","12,079","325","499","528","764","1,006","929","645","826","830","1,041","1,192","1,144","801","544","402","315","175","79","26","6","2","11,826","11,826","275","455","502","685","965","987","612","752","775","1,000","1,167","1,131","878","564","441","327","185","78","40","6","1"
