"행정구역","2014년_거주자_총인구수","2014년_거주자_연령구간인구수","2014년_거주자_0~4세","2014년_거주자_5~9세","2014년_거주자_10~14세","2014년_거주자_15~19세","2014년_거주자_20~24세","2014년_거주자_25~29세","2014년_거주자_30~34세","2014년_거주자_35~39세","2014년_거주자_40~44세","2014년_거주자_45~49세","2014년_거주자_50~54세","2014년_거주자_55~59세","2014년_거주자_60~64세","2014년_거주자_65~69세","2014년_거주자_70~74세","2014년_거주자_75~79세","2014년_거주자_80~84세","2014년_거주자_85~89세","2014년_거주자_90~94세","2014년_거주자_95~99세","2014년_거주자_100세 이상"
"광주광역시 서구 (2914000000)","308,591","308,591","13,295","15,151","19,948","25,415","23,672","18,914","22,627","23,373","28,637","27,133","24,489","20,422","13,449","11,105","8,791","6,121","3,512","1,770","612","134","21"
"광주광역시 서구 양동(2914057500)","4,862","4,862","86","87","116","242","323","308","295","280","312","321","417","441","376","412","388","248","127","62","14","4","3"
"광주광역시 서구 양3동(2914059000)","5,400","5,400","383","218","197","276","332","285","524","452","405","367","387","463","350","274","226","135","71","44","10","1","0"
"광주광역시 서구 농성1동(2914065000)","8,617","8,617","269","254","276","398","520","533","732","660","692","642","651","685","628","603","479","316","172","83","19","4","1"
"광주광역시 서구 농성2동(2914066000)","5,973","5,973","145","156","231","394","495","450","457","389","477","468","526","507","331","329","288","193","81","38","16","2","0"
"광주광역시 서구 광천동(2914073000)","10,453","10,453","448","340","404","661","754","730","812","748","786","857","947","796","614","547","453","278","158","83","27","9","1"
"광주광역시 서구 유덕동(2914074000)","11,948","11,948","750","713","906","1,050","787","676","1,000","1,085","1,240","1,054","797","546","369","287","287","215","115","52","14","5","0"
"광주광역시 서구 치평동(2914074500)","30,504","30,504","1,365","1,438","2,122","2,896","2,517","2,003","2,451","2,258","2,883","3,002","2,479","1,639","950","804","682","533","326","112","37","7","0"
"광주광역시 서구 상무1동(2914075100)","24,260","24,260","870","1,113","1,477","1,839","2,106","1,953","2,059","1,824","2,156","2,135","1,849","1,529","1,078","850","618","373","245","120","48","16","2"
"광주광역시 서구 상무2동(2914075200)","25,579","25,579","774","837","1,130","1,954","2,130","1,853","1,951","1,674","1,965","2,121","2,219","2,068","1,437","1,231","975","633","344","191","78","13","1"
"광주광역시 서구 화정1동(2914076000)","16,538","16,538","760","589","750","1,073","1,285","1,432","1,639","1,307","1,283","1,168","1,183","1,143","827","738","538","433","229","116","38","6","1"
"광주광역시 서구 화정2동(2914077000)","11,946","11,946","400","389","606","1,000","1,045","783","891","749","850","1,003","1,100","1,119","663","486","361","261","138","73","23","5","1"
"광주광역시 서구 화정3동(2914078000)","12,233","12,233","383","480","732","1,081","1,007","738","777","739","985","1,010","1,074","1,021","694","528","404","278","182","83","30","5","2"
"광주광역시 서구 화정4동(2914079000)","20,128","20,128","710","844","1,211","1,705","1,728","1,328","1,319","1,256","1,523","1,728","1,892","1,824","1,052","740","481","378","232","134","36","7","0"
"광주광역시 서구 서창동(2914080000)","6,653","6,653","250","278","286","447","480","343","367","401","506","601","625","553","394","319","290","247","146","88","26","3","3"
"광주광역시 서구 금호1동(2914082100)","24,233","24,233","885","1,119","1,530","2,156","2,179","1,472","1,481","1,458","2,102","2,226","2,261","1,872","1,076","825","624","466","284","139","59","17","2"
"광주광역시 서구 금호2동(2914082400)","29,184","29,184","1,399","2,009","2,761","2,986","2,155","1,246","1,645","2,438","3,401","3,032","2,114","1,272","837","656","513","368","196","111","37","8","0"
"광주광역시 서구 풍암동(2914083000)","41,813","41,813","2,227","2,747","3,700","3,875","2,800","1,964","2,912","3,748","4,968","3,905","2,783","1,953","1,187","1,017","853","574","332","179","73","13","3"
"광주광역시 서구 동천동(2914084000)","18,267","18,267","1,191","1,540","1,513","1,382","1,029","817","1,315","1,907","2,103","1,493","1,185","991","586","459","331","192","134","62","27","9","1"
