"행정구역","2015년_거주자_총인구수","2015년_거주자_연령구간인구수","2015년_거주자_0~4세","2015년_거주자_5~9세","2015년_거주자_10~14세","2015년_거주자_15~19세","2015년_거주자_20~24세","2015년_거주자_25~29세","2015년_거주자_30~34세","2015년_거주자_35~39세","2015년_거주자_40~44세","2015년_거주자_45~49세","2015년_거주자_50~54세","2015년_거주자_55~59세","2015년_거주자_60~64세","2015년_거주자_65~69세","2015년_거주자_70~74세","2015년_거주자_75~79세","2015년_거주자_80~84세","2015년_거주자_85~89세","2015년_거주자_90~94세","2015년_거주자_95~99세","2015년_거주자_100세 이상","2016년_거주자_총인구수","2016년_거주자_연령구간인구수","2016년_거주자_0~4세","2016년_거주자_5~9세","2016년_거주자_10~14세","2016년_거주자_15~19세","2016년_거주자_20~24세","2016년_거주자_25~29세","2016년_거주자_30~34세","2016년_거주자_35~39세","2016년_거주자_40~44세","2016년_거주자_45~49세","2016년_거주자_50~54세","2016년_거주자_55~59세","2016년_거주자_60~64세","2016년_거주자_65~69세","2016년_거주자_70~74세","2016년_거주자_75~79세","2016년_거주자_80~84세","2016년_거주자_85~89세","2016년_거주자_90~94세","2016년_거주자_95~99세","2016년_거주자_100세 이상"
"광주광역시 서구 (2914000000)","303,310","303,310","12,427","14,797","17,744","24,488","24,041","18,360","21,081","22,820","27,048","27,502","23,790","21,474","14,418","11,619","8,921","6,337","3,829","1,811","641","140","22","307,786","307,786","12,400","14,871","16,667","23,932","24,670","19,218","20,369","23,174","26,228","28,583","24,311","22,707","15,696","12,029","9,134","6,889","4,107","1,945","672","154","30"
"광주광역시 서구 양동(2914057500)","4,671","4,671","83","82","100","215","294","277","281","267","295","312","365","443","380","407","384","248","148","66","16","6","2","4,554","4,554","73","68","95","192","279","249","271","235","276","312","354","450","389","394","387","278","166","64","16","5","1"
"광주광역시 서구 양3동(2914059000)","5,249","5,249","337","231","194","251","326","268","435","465","373","384","354","474","366","296","218","147","75","42","12","1","0","5,091","5,091","262","256","176","227","332","266","371","482","357","349","344","458","384","318","208","165","79","45","11","1","0"
"광주광역시 서구 농성1동(2914065000)","8,467","8,467","254","247","249","371","519","548","699","638","673","609","619","674","624","645","472","329","174","93","27","3","0","8,275","8,275","233","229","251","331","534","560","589","628","633","640","593","643","641","621","480","366","184","86","30","2","1"
"광주광역시 서구 농성2동(2914066000)","5,787","5,787","144","147","186","372","520","405","430","376","428","461","512","491","353","341","280","191","91","40","13","6","0","5,615","5,615","149","110","152","318","477","477","408","359","373","455","481","516","389","321","269","200","102","42","13","4","0"
"광주광역시 서구 광천동(2914073000)","10,125","10,125","419","327","339","611","751","718","707","756","719","827","919","827","632","539","455","285","175","83","27","7","2","9,720","9,720","356","344","309","557","730","615","634","737","692","815","873","840","639","536","436","311","176","87","25","5","3"
"광주광역시 서구 유덕동(2914074000)","11,703","11,703","645","717","807","1,039","807","685","929","1,044","1,155","1,117","803","583","372","303","274","220","129","54","16","4","0","11,421","11,421","583","698","689","986","872","694","814","1,016","1,077","1,123","827","615","390","332","265","229","124","67","15","4","1"
"광주광역시 서구 치평동(2914074500)","30,518","30,518","1,302","1,400","1,873","2,810","2,595","2,062","2,436","2,321","2,725","3,021","2,528","1,823","1,046","824","692","550","340","124","42","4","0","31,090","31,090","1,299","1,415","1,648","2,689","2,857","2,126","2,466","2,385","2,610","3,128","2,584","2,013","1,137","827","711","604","383","143","53","11","1"
"광주광역시 서구 상무1동(2914075100)","23,713","23,713","851","1,065","1,296","1,808","2,101","1,933","1,936","1,745","2,017","2,148","1,805","1,575","1,098","898","636","381","253","105","47","13","2","23,477","23,477","803","993","1,195","1,681","2,111","1,980","1,824","1,762","1,965","2,112","1,827","1,662","1,148","902","656","425","246","117","51","16","1"
"광주광역시 서구 상무2동(2914075200)","25,127","25,127","721","842","1,007","1,727","2,190","1,830","1,772","1,634","1,889","2,073","2,130","2,143","1,576","1,267","984","679","373","196","77","15","2","25,743","25,743","785","803","978","1,690","2,216","1,915","1,771","1,690","1,847","2,184","2,135","2,254","1,631","1,368","989","764","417","209","77","15","5"
