"행정구역","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_0~4세","2017년_거주자_5~9세","2017년_거주자_10~14세","2017년_거주자_15~19세","2017년_거주자_20~24세","2017년_거주자_25~29세","2017년_거주자_30~34세","2017년_거주자_35~39세","2017년_거주자_40~44세","2017년_거주자_45~49세","2017년_거주자_50~54세","2017년_거주자_55~59세","2017년_거주자_60~64세","2017년_거주자_65~69세","2017년_거주자_70~74세","2017년_거주자_75~79세","2017년_거주자_80~84세","2017년_거주자_85~89세","2017년_거주자_90~94세","2017년_거주자_95~99세","2017년_거주자_100세 이상","2018년_거주자_총인구수","2018년_거주자_연령구간인구수","2018년_거주자_0~4세","2018년_거주자_5~9세","2018년_거주자_10~14세","2018년_거주자_15~19세","2018년_거주자_20~24세","2018년_거주자_25~29세","2018년_거주자_30~34세","2018년_거주자_35~39세","2018년_거주자_40~44세","2018년_거주자_45~49세","2018년_거주자_50~54세","2018년_거주자_55~59세","2018년_거주자_60~64세","2018년_거주자_65~69세","2018년_거주자_70~74세","2018년_거주자_75~79세","2018년_거주자_80~84세","2018년_거주자_85~89세","2018년_거주자_90~94세","2018년_거주자_95~99세","2018년_거주자_100세 이상","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~4세","2019년_거주자_5~9세","2019년_거주자_10~14세","2019년_거주자_15~19세","2019년_거주자_20~24세","2019년_거주자_25~29세","2019년_거주자_30~34세","2019년_거주자_35~39세","2019년_거주자_40~44세","2019년_거주자_45~49세","2019년_거주자_50~54세","2019년_거주자_55~59세","2019년_거주자_60~64세","2019년_거주자_65~69세","2019년_거주자_70~74세","2019년_거주자_75~79세","2019년_거주자_80~84세","2019년_거주자_85~89세","2019년_거주자_90~94세","2019년_거주자_95~99세","2019년_거주자_100세 이상"
"광주광역시 서구 (2914000000)","305,189","305,189","11,615","14,461","16,130","22,105","24,609","20,018","18,793","22,946","24,997","28,520","24,559","23,134","16,579","12,343","9,299","7,696","4,367","2,101","714","173","30","302,441","302,441","10,680","14,134","15,451","20,575","24,302","20,707","17,529","22,826","23,604","28,006","25,328","23,303","17,802","12,499","9,841","7,896","4,681","2,278","770","194","35","299,225","299,225","9,798","13,650","14,735","18,920","23,690","21,493","17,047","21,558","22,583","27,446","25,961","23,245","19,146","12,856","10,441","8,005","5,064","2,453","893","206","35"
"광주광역시 서구 양동(2914057500)","4,361","4,361","68","63","81","158","263","236","220","225","248","292","343","436","368","383","393","317","175","62","26","4","0","4,158","4,158","52","58","75","128","229","240","204","203","216","283","306","412","394","356","391","330","187","66","22","5","1","4,060","4,060","57","58","67","104","215","234","200","186","197","264","296","393","413","345","381","349","192","75","26","7","1"
"광주광역시 서구 양3동(2914059000)","4,915","4,915","220","257","164","213","309","272","303","473","355","343","333","424","371","312","244","179","86","44","13","0","0","4,868","4,868","187","260","167","193","278","280","275","441","380","350","334","393","401","321","266","187","93","43","16","3","0","4,817","4,817","194","252","173","183","257","293","266","398","370","367","332","371","406","334","254","201","100","48","16","2","0"
"광주광역시 서구 농성1동(2914065000)","8,395","8,395","219","210","270","335","512","606","526","635","610","660","623","626","668","621","497","438","206","98","33","2","0","8,977","8,977","188","219","256","366","586","705","512","626","627","713","671","681","726","656","564","480","243","112","40","4","2","10,892","10,892","323","261","277","431","756","910","755","808","707","865","861","823","794","687","645","486","312","125","54","10","2"
"광주광역시 서구 농성2동(2914066000)","5,382","5,382","109","119","132","276","439","472","370","343","326","426","469","487","426","311","254","237","123","46","14","3","0","5,245","5,245","106","110","124","246","420","449","370","323","305","394","457","493","426","298","266","239","144","56","16","3","0","5,197","5,197","86","98","116","195","433","468","363","310","286","390","443","466","439","320","290","250","151","68","22","3","0"
"광주광역시 서구 광천동(2914073000)","9,354","9,354","336","343","255","505","676","602","552","684","666","802","815","850","648","534","432","348","175","86","35","7","3","8,873","8,873","303","302","248","452","623","565","460","628","646","748","818","829","672","507","418","332","175","95","42","7","3","8,398","8,398","237","315","239","369","569","544","454","563","580","685","771","805","681","500","429","318","197","93","38","8","3"
"광주광역시 서구 유덕동(2914074000)","11,346","11,346","531","671","650","932","906","757","747","971","1,043","1,101","887","671","418","332","250","239","154","62","20","4","0","11,165","11,165","489","630","623","849","915","788","707","956","954","1,053","939","728","446","334","259","237","160","65","27","6","0","10,945","10,945","423","589","595","769","892","809","685","850","911","1,068","960","735","519","349","257","251","167","75","36","4","1"
"광주광역시 서구 치평동(2914074500)","31,170","31,170","1,218","1,405","1,578","2,455","2,897","2,304","2,300","2,420","2,479","3,017","2,745","2,186","1,267","856","744","674","392","165","54","13","1","31,162","31,162","1,130","1,391","1,514","2,226","2,864","2,448","2,170","2,469","2,369","2,955","2,876","2,302","1,397","879","787","682","426","210","50","16","1","31,034","31,034","1,026","1,308","1,447","1,987","2,824","2,642","2,136","2,374","2,266","2,894","2,930","2,424","1,565","929","818","678","475","238","58","14","1"
"광주광역시 서구 상무1동(2914075100)","23,155","23,155","786","918","1,183","1,538","2,060","2,054","1,700","1,752","1,895","2,008","1,878","1,674","1,198","917","671","478","248","138","42","15","2","24,383","24,383","820","938","1,187","1,529","2,185","2,248","1,699","1,920","1,864","2,142","2,034","1,765","1,323","991","716","524","284","146","54","11","3","25,046","25,046","828","949","1,158","1,497","2,194","2,399","1,786","1,955","1,867","2,179","2,136","1,817","1,425","991","776","553","295","169","52","18","2"
"광주광역시 서구 상무2동(2914075200)","25,356","25,356","728","810","880","1,496","2,190","2,011","1,653","1,684","1,764","2,138","2,083","2,219","1,667","1,374","1,003","880","465","219","66","20","6","24,933","24,933","658","758","819","1,330","2,130","2,134","1,578","1,656","1,615","2,081","2,060","2,169","1,815","1,320","1,089","901","494","222","77","22","5","24,313","24,313","565","708","771","1,151","2,065","2,249","1,522","1,555","1,519","1,896","2,069","2,115","1,906","1,330","1,115","887","529","245","88","23","5"
